modelo,mae_train,mae_test,diferencia_mae,r2_train,r2_test
Regresion Lineal,43.483503523980396,42.794094679599944,-0.689408844380452,0.5279193863361498,0.45260276297191926
Arbol de Decision,0.0,54.52808988764045,54.52808988764045,1.0,0.060653981041140725
Random Forest,17.406543909348443,44.053033707865175,26.646489798516733,0.9242161075990893,0.4428225673999313
